Country,HighBroadband_Q313
AD,0.188
AE,0.054
AF,0.0019
AG,0.0034
AI,0.0018
AL,0.0065
AM,0.0112
AO,0.002
AR,0.0085
AS,0.0383
AT,0.2306
AU,0.081
AW,0.0083
AZ,0.0019
BA,0.0101
BB,0.0061
BD,0.0012
BE,0.341
BF,0.0009
BG,0.1825
BH,0.0012
BI,0.0219
BJ,0.007
BL,0
BM,0.0123
BN,0.0077
BO,0.0007
BQ,0.0051
BR,0.0085
BS,0.0915
BT,0.0015
BW,0.0017
BY,0.012
BZ,0.0042
CA,0.2426
CD,0
CF,0.0023
CG,0.0008
CH,0.392
CI,0.0003
CK,0.0103
CL,0.0106
CM,0.0013
CN,0.0108
CO,0.005
CR,0.0045
CU,0
CV,0.003
CW,0.0605
CY,0.0234
CZ,0.3546
DE,0.1711
DJ,0.0016
DK,0.2846
DM,0.0023
DO,0.0009
DZ,0.0002
EC,0.0159
EE,0.1043
EG,0.0006
EH,0
ER,0
ES,0.1379
ET,0.0029
EU,0.2071
FI,0.2475
FJ,0.001
FK,0
FM,0
FO,0.0486
FR,0.1193
GA,0.0004
GB,0.2718
GD,0.0057
GE,0.0314
GF,0.0005
GG,0.0651
GH,0.007
GI,0.0233
GL,0.0028
GM,0.0056
GN,0.0016
GP,0.0024
GQ,0.003
GR,0.0293
GT,0.0019
GU,0.0159
GW,0
GY,0.0008
HK,0.3843
HN,0.0087
HR,0.0154
HT,0.0084
HU,0.1544
ID,0.0014
IE,0.2464
IL,0.2036
IM,0.0725
IN,0.003
IO,0
IQ,0.0009
IR,0.0003
IS,0.1416
IT,0.0373
JE,0.0349
JM,0.0967
JO,0.0013
JP,0.4924
KE,0.0017
KG,0.0041
KH,0.0035
KI,0
KM,0.0024
KN,0.0073
KP,0.0938
KR,0.6961
KW,0.0085
KY,0.0088
KZ,0.0232
LA,0.001
LB,0.0008
LC,0.0035
LI,0.2894
LK,0.003
LR,0.0337
LS,0.0041
LT,0.2201
LU,0.0827
LV,0.3441
LY,0.0011
MA,0.0008
MC,0.1213
MD,0.2047
ME,0.0051
MF,0.0035
MG,0.001
MH,0.0047
MK,0.0131
ML,0.0019
MM,0.01
MN,0.0092
MO,0.0923
MP,0.0001
MQ,0.0075
MR,0.0005
MS,0.1869
MT,0.075
MU,0.001
MV,0.0002
MW,0.0005
MX,0.017
MY,0.0213
MZ,0.0025
NA,0.0004
NC,0.0176
NE,0.0019
NF,0.0329
NG,0.0031
NI,0.0012
NL,0.445
NO,0.2295
NP,0.0041
NR,0
NU,0
NZ,0.0623
OM,0.0021
PA,0.0049
PE,0.0009
PF,0.0002
PG,0.0027
PH,0.0014
PK,0.0004
PL,0.1852
PM,0.025
PR,0.0571
PS,0.0019
PT,0.0985
PW,0.0115
PY,0.0003
QA,0.018
RE,0.1825
RO,0.1989
RS,0.0237
RU,0.237
RW,0.0033
SA,0.0011
SB,0
SC,0.0016
SD,0.0001
SE,0.2542
SG,0.2006
SI,0.1053
SK,0.121
SL,0.0019
SM,0.0233
SN,0.0001
SO,0.0155
SR,0.0006
SS,0.0045
ST,0.0033
SV,0.0006
SX,0.0157
SY,0.0005
SZ,0.0005
TC,0.0027
TD,0
TF,0
TG,0
TH,0.0239
TJ,0.0006
TK,0.0938
TL,0.0013
TM,0.0135
TN,0.001
TO,0.0044
TR,0.0173
TT,0.0101
TV,0
TW,0.2062
TZ,0.0021
UA,0.2438
UG,0.0015
UM,0
US,0.3369
UY,0.0023
UZ,0.0005
VA,0.5143
VC,0.0083
VE,0.001
VG,0.0034
VI,0.0361
VN,0.0011
VU,0.0143
WF,0.0143
WS,0.0022
YE,0.0001
YT,0
ZA,0.0111
ZM,0.0016
ZW,0.0037
