GeoFips,County,State,Year,Per.Cap.Personal.Income,Num.Of.Jobs,Job.Growth,TYPE,land_area,population,households,dem_inc_median,dem_inc_less25,dem_inc_25to50,dem_inc_50to100,dem_inc_100to200,dem_inc_greater200,opticalfiber,advdl_gr1gig
1001,Autauga, AL,2011,33447,12015,-0.07,POP,586.2689917,55360,22477,52359.5044,0.276,0.2954,0.3463,0.0706,0.0117,0,0
1003,Baldwin, AL,2011,38115,65564,2.61,POP,1979.733541,186490,105913,50736.21,0.2884,0.3148,0.2952,0.0803,0.0213,0,0
1005,Barbour, AL,2011,27025,9761,-3.43,POP,888.8982105,27339,11824,31628.0054,0.4992,0.2717,0.1832,0.0384,0.0074,0,0
1007,Bibb, AL,2011,23866,4508,-0.55,POP,608.5185092,23041,9036,31124.2992,0.4112,0.3156,0.2402,0.0298,0.0031,0,0
1009,Blount, AL,2011,27380,9503,-1.6,POP,614.4459663,58083,24209,42979.0778,0.3354,0.3369,0.2796,0.0433,0.0048,0,0
1011,Bullock, AL,2011,22951,3073,-2.23,POP,614.5679507,10889,4493,28941.2114,0.5838,0.2527,0.1396,0.0196,0.0042,0.5999,0
1013,Butler, AL,2011,28815,7099,0.61,POP,753.7328762,21073,10042,32205.977,0.5114,0.2773,0.1644,0.0294,0.0175,0,0
1015,Calhoun, AL,2011,32401,50075,-0.49,POP,569.9135692,119318,53626,39254.0381,0.4035,0.3152,0.2243,0.0467,0.0103,0,0
1017,Chambers, AL,2011,28569,8793,5.33,POP,578.0574978,33947,16892,33575.5186,0.4312,0.3318,0.2063,0.0225,0.0082,0,0
1019,Cherokee, AL,2011,27063,5321,0.24,POP,566.7137409,26125,16465,40411.3984,0.4024,0.3511,0.2121,0.0307,0.0037,0.0017,0
1021,Chilton, AL,2011,29160,9323,0.71,POP,668.9146259,44019,19413,39265.0953,0.3751,0.3299,0.257,0.0332,0.0048,0,0
1023,Choctaw, AL,2011,29779,3932,-2.04,POP,909.8541252,13793,7244,31660.4457,0.5045,0.2647,0.1837,0.0344,0.0127,0,0
1025,Clarke, AL,2011,29840,8901,-1.2,POP,1239.992206,25662,12567,31143.7475,0.4679,0.255,0.2286,0.041,0.0075,0,0
1027,Clay, AL,2011,26770,3936,-2.55,POP,578.4074706,13913,6774,35603.3727,0.4403,0.3499,0.1875,0.0155,0.0069,0,0
1029,Cleburne, AL,2011,30026,2665,-1.41,POP,537.3397763,15155,6816,35473.7089,0.4119,0.3448,0.2113,0.0281,0.0041,0,0
1031,Coffee, AL,2011,36763,15831,-1.8,POP,652.5764814,51035,22840,42320.2707,0.3656,0.3183,0.2491,0.0555,0.0115,0,0
1033,Colbert, AL,2011,32108,23586,0.17,POP,594.7862051,54535,25783,40203.8859,0.3964,0.3171,0.2307,0.0468,0.009,0,0
1035,Conecuh, AL,2011,28243,3565,-1.16,POP,835.6647586,13174,7066,29021.5819,0.5381,0.2725,0.1559,0.0295,0.004,0,0
1037,Coosa, AL,2011,23931,1514,-3.2,POP,644.037345,11602,6497,36388.0577,0.417,0.3208,0.2193,0.0293,0.0136,0,0
1039,Covington, AL,2011,29438,13612,0.62,POP,1005.205336,38266,19097,35856.2518,0.4825,0.2925,0.1854,0.0303,0.0093,0.1019,0
