Fips,Year,Area,GDP,GDPGrowth,Size.of.Metro.Area,Personal.Income,Num.Of.Jobs,Job.Growth,TYPE,land_area,population,households,dem_inc_median,dem_inc_less25,dem_inc_25to50,dem_inc_50to100,dem_inc_100to200,dem_inc_greater200,opticalfiber,advdl_gr1gig
47900,2012,"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",66433,-0.81,145.67,61743,3200066,0.99,POP,5559.579484,5758164,2286857,94972.718,0.1137,0.1829,0.3061,0.3083,0.1147,0.6909,0.0242
47900,2012,"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)",66433,-0.81,145.67,61743,3200066,0.99,HU,5559.579484,5758164,2286857,94972.718,0.1137,0.1829,0.3061,0.3083,0.1147,0.6618,0.0309
41940,2012,"San Jose-Sunnyvale-Santa Clara, CA (MSA)",90528,1.36,198.51,65679,957714,3.34,POP,2591.26265,1867538,679886,94214.4874,0.1369,0.1858,0.2761,0.3019,0.1325,0.0079,0.0062
41940,2012,"San Jose-Sunnyvale-Santa Clara, CA (MSA)",90528,1.36,198.51,65679,957714,3.34,HU,2591.26265,1867538,679886,94214.4874,0.1369,0.1858,0.2761,0.3019,0.1325,0.0103,0.0079
37100,2012,"Oxnard-Thousand Oaks-Ventura, CA (MSA)",40214,0.16,88.18,48837,321947,1.52,POP,2142.616564,840889,287274,82441.1203,0.1409,0.2185,0.3146,0.2778,0.0849,0.3883,0.0071
37100,2012,"Oxnard-Thousand Oaks-Ventura, CA (MSA)",40214,0.16,88.18,48837,321947,1.52,HU,2142.616564,840889,287274,82441.1203,0.1409,0.2185,0.3146,0.2778,0.0849,0.369,0.0084
41860,2012,"San Francisco-Oakland-Hayward, CA (MSA)",69542,5.95,152.49,66591,2113709,3.58,POP,3231.03314,4390352,1788553,84263.9937,0.1674,0.209,0.2827,0.2667,0.1107,0.0185,0.0088
41860,2012,"San Francisco-Oakland-Hayward, CA (MSA)",69542,5.95,152.49,66591,2113709,3.58,HU,3231.03314,4390352,1788553,84263.9937,0.1674,0.209,0.2827,0.2667,0.1107,0.0201,0.0119
10180,2011,"Abilene, TX (MSA)",29203,0.78,65.05,36459,72382,0.79,POP,2674.729618,166178,70053,43773.4799,0.3682,0.3388,0.2339,0.0495,0.0095,0.0083,0
10420,2011,"Akron, OH (MSA)",34933,1.62,77.82,40354,327635,0.87,POP,828.6517673,700545,311243,51884.0591,0.268,0.2971,0.3213,0.0928,0.0208,0,0
14460,2012,"Boston-Cambridge-Newton, MA-NH (MSA)",63745,1.5,139.78,60387,2565817,1.79,POP,4128.260812,4599378,1922967,76896.6325,0.1834,0.216,0.3018,0.255,0.0812,0.4767,0.007
14460,2012,"Boston-Cambridge-Newton, MA-NH (MSA)",63745,1.5,139.78,60387,2565817,1.79,HU,4128.260812,4599378,1922967,76896.6325,0.1834,0.216,0.3018,0.255,0.0812,0.4648,0.0075
14860,2012,"Bridgeport-Stamford-Norwalk, CT (MSA)",80158,-0.31,175.77,81068,441709,1.09,POP,763.7063527,923450,367533,97828.9603,0.1507,0.1925,0.2739,0.2528,0.1635,0.701,0.5242
14860,2012,"Bridgeport-Stamford-Norwalk, CT (MSA)",80158,-0.31,175.77,81068,441709,1.09,HU,763.7063527,923450,367533,97828.9603,0.1507,0.1925,0.2739,0.2528,0.1635,0.7126,0.54
21820,2012,"Fairbanks, AK (MSA)",42872,-0.36,94.01,45432,49009,0.4,POP,9372.295731,101452,43418,68928.4369,0.1455,0.2541,0.3545,0.251,0.0343,0,0
21820,2012,"Fairbanks, AK (MSA)",42872,-0.36,94.01,45432,49009,0.4,HU,9372.295731,101452,43418,68928.4369,0.1455,0.2541,0.3545,0.251,0.0343,0,0
