COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
ALGERIA,0.50,0.11,0.09,0.08,0.08,0.08,0.18,0.10,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.07,0.07,0.06,0.05,0.12,0.07,0.05,0.07,0.13,0.29
ARGENTINA,1.11,0.69,0.67,0.64,0.59,0.56,1.22,1.27,0.56,0.91,1.28,2.11,1.49,9.70,6.69,8.41,10.83,5.89,11.66,7.61,9.08,9.04,7.69,8.27,18.19
ARMENIA,1.73,0.64,0.10,0.05,0.05,0.05,0.34,0.14,0.08,0.11,0.13,0.27,0.27,0.23,0.62,1.36,1.37,1.86,3.59,3.76,1.93,3.12,7.34,13.22,17.82
AUSTRALIA,13.27,14.47,12.59,13.63,14.58,14.61,20.06,18.02,14.40,13.12,18.65,19.93,19.21,20.29,26.17,28.84,27.79,31.67,26.98,37.71,37.59,35.57,32.63,40.67,50.58
AUSTRIA,21.88,22.89,22.30,26.86,28.18,28.67,29.72,29.40,30.66,33.14,28.62,27.26,25.22,30.49,34.71,44.96,43.72,43.19,46.27,56.53,58.11,55.26,71.43,78.74,80.58
AZERBAIJAN,0.62,0.49,0.19,0.36,0.46,0.78,0.70,0.62,0.19,0.48,0.35,0.82,0.38,0.30,0.36,0.58,1.03,0.69,0.68,1.04,1.18,1.45,3.23,4.77,8.55
BAHRAIN,0.05,0.04,0.04,0.06,0.07,0.37,1.94,4.00,3.75,4.26,2.70,2.05,1.89,6.96,6.43,7.80,9.72,5.70,1.83,3.47,1.87,1.87,8.25,4.04,3.63
BELARUS,0.42,0.63,0.87,0.93,2.01,1.86,1.32,2.24,1.27,2.03,1.33,2.06,1.51,3.08,6.00,7.25,8.99,4.57,6.24,5.69,5.17,6.46,7.85,12.39,11.12
BELGIUM,40.92,38.54,42.03,44.39,51.16,47.01,52.35,46.95,47.70,55.87,56.47,55.51,52.73,65.03,68.69,73.78,69.95,70.09,72.53,69.14,68.26,69.43,75.54,77.07,77.86
BOLIVIA,0.02,0.00,0.03,0.02,0.02,0.05,0.16,0.61,0.03,0.24,0.25,0.12,0.14,0.16,0.11,0.16,0.06,0.07,0.18,0.25,0.43,0.49,0.36,0.68,0.76
BOSNIA AND HERZEGOVINA,0.54,0.48,0.48,0.60,0.60,0.37,0.61,0.93,0.62,0.71,0.92,0.79,0.92,1.01,1.91,1.84,1.74,2.16,5.19,4.54,5.65,4.41,13.15,19.90,23.09
BRAZIL,0.40,0.95,1.31,1.50,1.70,1.59,2.06,2.14,2.72,4.53,4.26,4.64,5.41,8.30,7.90,8.46,10.41,7.31,11.80,11.50,12.32,12.72,12.06,15.00,20.34
BULGARIA,10.10,12.28,13.22,21.84,27.85,29.00,30.04,33.64,32.31,37.72,43.36,34.72,28.18,30.58,41.54,47.44,47.06,45.56,49.91,46.39,58.52,57.56,70.82,75.25,80.72
CANADA,26.45,26.83,24.63,31.36,36.00,35.25,38.20,39.90,38.71,45.70,46.60,46.49,48.68,56.99,59.28,63.46,62.91,61.61,68.09,68.66,70.17,71.78,75.88,79.89,81.81
CHILE,2.22,1.25,0.89,0.97,0.49,1.47,10.42,3.14,7.22,10.08,5.11,5.96,9.86,10.72,10.21,17.02,19.89,12.83,21.86,12.15,13.10,13.31,13.06,14.94,23.91
CHINA,0.40,0.52,0.94,0.63,1.04,1.04,1.10,0.81,0.63,0.58,0.38,0.63,0.80,0.76,0.98,1.25,2.18,2.43,2.98,3.07,3.90,5.39,10.33,18.51,19.82
COLOMBIA,0.18,0.16,0.12,0.13,0.45,0.82,1.76,1.41,0.70,1.94,1.07,1.26,1.54,2.21,2.16,4.02,9.54,5.83,10.54,7.63,9.64,10.54,11.23,13.87,17.69
COSTA RICA,0.30,0.44,0.74,0.66,1.37,0.76,0.53,1.34,0.53,0.50,0.61,0.48,0.51,0.68,0.92,1.47,1.84,1.56,2.59,2.49,2.88,2.87,2.64,2.92,4.22
CROATIA,4.90,8.35,5.03,4.85,6.53,5.44,5.91,7.59,6.73,9.36,7.41,7.00,6.72,9.24,10.64,17.06,16.05,14.14,17.35,13.90,18.80,15.12,25.10,35.29,30.67
CYPRUS,0.33,0.28,0.31,0.39,0.50,0.52,0.71,0.69,0.61,1.03,1.84,2.26,2.37,3.86,5.99,9.46,9.76,6.50,12.23,9.42,10.11,10.79,29.27,39.34,40.58
CZECH REPUBLIC,30.66,33.15,25.39,29.85,31.30,37.64,51.75,50.76,47.94,55.43,48.92,49.34,48.06,53.77,63.83,70.55,65.93,63.31,67.88,63.52,67.95,72.15,78.70,82.35,82.82
