COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
ALGERIA,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.03,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.02
ARGENTINA,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.41,0.07,0.10,0.09,0.05,0.04,0.33,0.23,0.23,0.40,0.22,0.40,0.20,0.33,0.39,0.40,0.35,0.85
ARMENIA,0.36,0.10,0.00,0.00,0.02,0.00,0.02,0.02,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.11,0.11,0.07,0.09,0.13,0.34,1.12
AUSTRALIA,0.90,0.93,0.95,1.17,1.49,1.21,2.54,1.42,1.12,0.77,1.01,1.80,1.74,1.80,2.75,3.36,3.63,8.71,3.55,4.74,4.13,3.84,4.06,5.12,8.10
AUSTRIA,2.06,2.34,2.21,2.44,2.76,2.74,3.01,3.10,3.07,3.94,3.48,3.37,3.22,3.95,5.12,8.17,8.96,9.08,10.26,10.92,12.16,12.44,14.07,17.11,23.06
AZERBAIJAN,0.07,0.02,0.00,0.00,0.02,0.05,0.07,0.08,0.01,0.05,0.02,0.07,0.02,0.01,0.01,0.03,0.05,0.03,0.03,0.05,0.05,0.05,0.08,0.09,0.19
BAHRAIN,0.00,0.00,0.00,0.00,0.00,0.01,0.40,0.91,0.80,0.90,0.53,0.23,0.20,0.03,0.03,0.03,0.03,0.02,0.02,0.05,0.06,0.05,0.29,0.23,0.12
BELARUS,0.01,0.01,0.03,0.01,0.05,0.08,0.04,0.14,0.03,0.05,0.03,0.07,0.05,0.38,0.29,0.43,0.84,0.37,0.32,0.36,0.40,0.64,0.76,1.24,1.20
BELGIUM,1.16,1.12,1.12,1.19,2.53,2.39,4.44,2.87,1.85,2.99,2.03,5.50,4.42,6.30,11.28,11.20,10.01,11.49,18.34,13.96,15.69,15.73,20.49,25.14,34.10
BOLIVIA,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.26,0.00,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.00,0.01,0.02,0.02,0.03,0.02,0.05,0.07
BOSNIA AND HERZEGOVINA,0.08,0.04,0.04,0.05,0.06,0.03,0.05,0.13,0.03,0.03,0.21,0.09,0.03,0.05,0.07,0.07,0.07,0.06,0.10,0.11,0.13,0.12,0.27,0.57,1.01
BRAZIL,0.07,0.28,0.20,0.36,0.46,0.36,0.46,0.39,0.41,0.34,0.31,0.21,0.18,0.22,0.20,0.23,0.44,0.34,0.48,0.50,0.53,0.48,0.52,0.74,0.85
BULGARIA,0.09,0.14,0.16,0.18,0.40,0.62,2.40,2.41,2.10,2.52,4.43,3.58,3.36,2.89,5.22,5.98,6.96,4.71,7.41,6.50,9.95,10.85,12.87,12.48,18.25
CANADA,2.44,2.07,1.95,2.23,2.53,2.27,2.83,4.37,4.08,5.49,5.62,4.75,5.13,6.81,6.91,8.42,8.38,6.86,10.54,10.88,11.60,12.19,16.69,19.91,24.26
CHILE,0.02,0.02,0.05,0.12,0.07,0.15,0.36,0.36,0.40,0.43,0.29,0.17,0.25,0.22,0.51,0.48,0.77,0.67,1.02,0.65,0.77,0.75,0.66,0.64,1.06
CHINA,0.04,0.06,0.19,0.09,0.16,0.15,0.14,0.15,0.06,0.04,0.02,0.03,0.05,0.03,0.05,0.06,0.10,0.13,0.14,0.13,0.17,0.22,0.45,1.09,1.08
COLOMBIA,0.01,0.01,0.01,0.00,0.02,0.03,0.05,0.23,0.03,0.07,0.03,0.03,0.07,0.05,0.07,0.18,0.29,0.28,0.37,0.32,0.27,0.28,0.18,0.22,0.50
COSTA RICA,0.00,0.02,0.02,0.01,0.02,0.01,0.03,0.47,0.03,0.03,0.02,0.03,0.03,0.05,0.06,0.14,0.35,0.26,0.35,0.35,0.40,0.49,0.43,0.39,0.45
CROATIA,1.52,1.92,0.87,0.78,0.69,0.73,0.79,0.75,0.55,0.64,0.59,0.60,0.83,0.71,0.75,0.88,0.83,0.85,0.94,0.79,1.06,1.12,1.27,1.38,1.54
CYPRUS,0.06,0.05,0.04,0.06,0.05,0.06,0.10,0.13,0.11,0.09,0.11,0.06,0.10,0.15,0.20,0.23,0.33,0.27,0.56,0.48,0.55,0.60,0.98,2.07,2.34
CZECH REPUBLIC,3.71,6.11,4.50,4.55,4.10,5.92,6.68,7.04,5.90,8.43,6.55,5.67,5.98,7.05,10.17,12.17,12.15,10.89,11.96,14.47,15.00,17.41,21.91,27.14,35.46
DENMARK,2.14,2.17,2.03,2.17,3.49,3.41,6.47,4.22,4.49,6.43,5.91,5.58,5.25,6.30,7.46,9.90,10.63,9.36,15.21,13.04,17.41,14.89,17.77,20.61,28.46
DOMINICAN REPUBLIC,0.03,0.03,0.01,0.04,0.02,0.02,0.03,0.20,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.07,0.07,0.09
ECUADOR,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.04,0.25,0.34,0.78,0.86,0.57,0.88,1.59
EGYPT,0.09,0.07,0.06,0.05,0.03,0.03,0.04,0.09,0.03,0.03,0.04,0.06,0.06,0.06,0.09,0.09,0.12,0.08,0.08,0.17,0.04,0.04,0.02,0.04,0.06
EL SALVADOR,0.00,0.06,0.01,0.00,0.00,0.04,0.02,0.14,0.02,0.28,0.15,0.56,0.66,0.68,0.45,1.85,1.76,0.37,1.91,1.81,1.45,0.77,1.13,0.87,0.06
ESTONIA,1.85,1.90,1.36,1.84,2.49,2.32,3.38,2.96,2.78,3.06,2.36,2.51,2.23,2.57,2.97,4.79,5.60,5.31,7.19,6.20,7.10,7.63,8.88,10.91,10.43
FINLAND,2.66,2.77,2.72,2.67,3.37,3.59,4.49,3.93,4.29,4.85,5.61,5.12,5.84,7.19,7.21,9.38,9.16,11.99,16.34,13.74,15.82,17.92,22.16,22.88,24.75
FRANCE,1.35,1.29,1.12,1.00,1.23,1.42,2.09,2.00,1.97,2.13,1.95,2.05,1.74,1.90,1.87,2.46,2.31,2.71,4.50,3.86,4.14,4.32,4.99,6.81,11.93
GEORGIA,0.02,0.01,0.01,0.06,0.10,0.07,0.24,0.14,0.02,0.07,0.02,0.04,0.04,0.05,0.10,0.20,0.19,0.11,0.14,0.33,0.63,0.67,1.12,1.56,3.14
GERMANY,1.64,1.74,1.60,1.52,1.77,2.02,3.02,2.09,1.85,2.42,2.39,2.81,2.73,3.36,4.20,5.53,5.90,6.05,8.32,8.28,8.38,8.77,12.83,15.09,17.12
GREECE,0.87,0.21,0.34,1.26,1.22,1.20,1.35,1.21,1.10,1.37,1.16,1.18,1.19,1.30,1.33,1.62,1.36,1.41,1.61,1.68,1.81,1.78,3.64,3.77,2.93
GUATEMALA,0.22,0.13,0.12,0.19,0.24,0.32,0.32,0.54,0.33,0.39,0.47,0.31,0.24,0.44,0.35,0.72,0.57,0.44,0.50,0.49,0.45,0.07,0.06,0.13,0.19
HONG KONG,14.72,13.13,10.75,14.56,15.16,15.56,18.01,15.83,19.28,22.44,22.56,21.38,24.48,25.71,25.75,29.87,31.51,26.27,28.26,26.30,27.29,28.34,32.83,32.21,38.43
HUNGARY,1.81,1.91,1.30,1.28,1.65,1.96,3.08,2.35,2.73,4.67,3.88,4.24,3.34,4.28,5.59,8.68,9.82,8.53,9.98,7.86,8.43,9.10,10.53,11.56,15.44
ICELAND,3.35,2.25,2.25,2.06,1.89,2.86,4.21,2.75,3.59,4.36,4.19,3.92,4.09,6.08,6.84,8.83,7.63,4.19,5.96,6.26,6.05,6.55,11.33,11.87,14.16
INDIA,0.22,0.20,0.16,0.15,0.16,0.17,0.27,0.34,0.21,0.16,0.16,0.14,0.15,0.11,0.12,0.12,0.14,0.07,0.15,0.15,0.15,0.21,0.26,0.20,0.30
INDONESIA,0.10,0.10,0.08,0.13,0.13,0.11,0.51,0.54,0.24,0.08,0.12,0.21,0.21,0.14,0.10,0.11,0.18,0.17,0.08,0.10,0.18,0.19,0.14,0.12,0.14
IRAN,0.43,0.20,0.06,0.18,0.31,0.26,0.36,0.20,0.14,0.02,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03
IRELAND,4.19,4.81,5.36,2.76,4.02,5.62,6.35,3.28,5.03,4.28,5.19,4.56,4.95,5.81,7.65,8.24,10.03,9.97,10.31,8.15,10.90,10.59,12.21,15.76,24.64
ISRAEL,1.99,1.68,0.96,1.16,1.38,1.66,1.46,1.49,1.34,1.33,1.45,1.67,1.51,1.85,1.93,3.74,3.85,3.56,5.60,5.94,6.95,7.49,11.76,16.51,20.36
ITALY,1.60,1.52,1.30,1.23,1.31,1.37,1.38,1.43,1.03,1.28,1.18,1.25,1.57,1.48,2.07,2.89,2.47,2.37,2.60,2.64,2.67,2.82,3.20,3.71,3.73
JAPAN,17.85,18.27,22.12,22.21,19.33,19.34,24.87,20.44,26.13,23.37,25.47,26.59,30.21,28.88,26.00,30.12,30.19,30.85,37.30,36.63,37.86,39.48,40.78,43.15,49.24
JORDAN,0.02,0.04,0.04,0.03,0.02,0.00,0.25,0.14,0.11,0.10,0.08,0.08,0.04,0.04,0.05,0.05,0.08,0.03,0.06,0.07,0.06,0.07,0.06,0.11,0.13
KAZAKHSTAN,0.00,0.00,0.00,0.18,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.05,0.03,0.11,0.10,0.08,0.07,0.19,0.47,2.32
KENYA,0.07,0.08,0.08,0.08,0.15,0.08,0.07,0.07,0.00,0.05,0.01,0.01,0.02,0.00,0.03,0.04,0.04,0.02,0.02,0.50,0.52,0.50,0.02,0.02,0.17
KUWAIT,0.00,0.00,1.17,2.06,3.52,0.80,0.75,1.39,0.66,0.51,0.16,0.10,0.29,0.18,0.11,0.17,1.31,0.52,0.60,0.59,0.52,0.57,0.84,0.61,0.85
LATVIA,2.81,2.20,2.46,5.60,7.62,7.66,9.55,9.46,7.26,12.89,12.59,12.38,11.81,11.99,14.84,24.00,27.03,21.25,25.87,25.71,26.23,26.72,29.49,33.18,34.41
LEBANON,0.02,0.10,0.05,0.59,1.42,1.32,2.82,2.07,1.84,2.50,1.34,0.06,0.02,0.02,0.02,0.01,0.01,0.02,0.04,0.04,0.17,0.15,0.08,0.06,0.08
LITHUANIA,0.48,0.52,0.34,0.36,1.05,0.27,0.88,0.52,0.42,0.59,0.95,1.37,2.23,2.60,2.68,6.82,9.81,9.61,7.77,7.79,8.38,9.38,10.42,14.80,22.01
LUXEMBOURG,1.23,1.20,0.95,0.92,0.74,0.73,1.08,1.08,1.04,1.10,1.45,1.36,1.49,1.75,2.35,2.86,2.38,2.57,3.09,3.15,3.55,3.62,4.57,6.37,8.27
MACAO,0.25,0.30,0.28,0.26,0.31,0.27,0.28,0.25,0.41,0.69,0.41,0.32,0.43,0.78,2.21,2.05,2.89,1.49,2.68,3.20,2.88,3.17,4.18,5.08,9.23
MACEDONIA,0.04,0.04,0.01,0.01,0.02,0.01,0.05,0.27,0.05,0.06,0.05,0.06,0.05,0.11,0.12,0.16,0.18,0.14,0.24,0.21,0.28,0.27,0.55,0.65,1.31
MALAYSIA,0.21,0.20,0.14,0.17,0.28,0.35,0.36,0.41,0.27,0.25,0.21,0.20,0.29,0.35,0.36,0.51,0.68,0.47,0.69,1.21,0.87,0.90,1.33,1.99,2.13
MALTA,0.07,0.06,0.05,0.06,0.07,0.04,0.05,0.13,0.04,0.14,0.12,0.13,0.15,0.22,0.26,0.64,0.49,0.28,1.70,1.17,1.17,1.13,1.54,4.77,7.50
MAURITIUS,0.06,0.00,0.00,0.00,0.04,0.06,0.05,0.08,0.05,0.07,0.05,0.02,0.03,0.03,0.03,0.04,0.05,0.04,0.03,0.04,0.04,0.06,0.06,0.09,0.10
MEXICO,0.01,0.03,0.02,0.02,0.03,0.01,0.03,0.14,0.03,0.09,0.06,0.11,0.13,0.27,0.30,0.41,0.43,0.29,0.41,0.45,0.46,0.53,0.78,1.02,1.70
MOLDOVA REPUBLIC OF,0.03,0.02,0.01,0.01,0.02,1.76,0.48,1.22,1.32,4.57,7.08,7.42,4.52,4.65,4.02,11.53,11.48,5.26,5.03,4.97,8.20,8.08,18.13,21.07,20.47
MOROCCO,0.09,0.02,0.03,0.03,0.03,0.04,0.05,0.09,0.04,0.01,0.02,0.01,0.04,0.03,0.01,0.03,0.02,0.01,0.01,0.03,0.02,0.03,0.04,0.07,0.08
NEPAL,0.62,0.75,0.82,0.63,1.19,0.66,0.85,0.33,0.54,1.66,2.19,1.70,0.83,1.39,0.52,0.55,0.39,0.33,0.32,0.23,0.15,0.15,0.07,0.15,0.41
NETHERLANDS,3.58,3.24,3.19,3.43,3.72,4.60,7.20,5.80,7.11,8.60,9.87,12.09,10.79,14.25,18.21,21.88,21.39,21.24,24.16,18.47,21.61,21.47,28.18,30.58,44.50
NEW ZEALAND,0.48,0.39,0.45,0.55,0.90,0.96,1.29,1.17,1.04,1.02,0.95,1.20,1.08,1.42,1.70,2.15,2.82,1.46,2.37,2.33,2.36,2.42,3.30,3.86,6.23
NORWAY,4.73,4.89,3.98,4.64,5.17,5.41,6.47,4.94,5.44,6.27,6.59,4.89,5.40,6.50,6.65,8.99,9.27,8.59,12.02,11.31,14.85,16.86,19.11,18.31,22.95
PAKISTAN,0.01,0.01,0.00,0.00,0.02,0.00,0.04,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.04
PALESTINE,0.08,0.95,1.02,6.60,2.84,0.06,0.17,0.11,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.06,0.09,0.22,0.05,0.05,0.05,0.07,0.04,0.17,0.19
PANAMA,0.01,0.01,0.01,0.02,0.02,0.01,0.05,0.17,0.14,0.30,0.16,0.09,0.15,0.14,0.16,0.19,0.38,0.18,0.37,0.22,0.26,0.27,0.28,0.26,0.49
PARAGUAY,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.19,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.03
PERU,0.02,0.03,0.03,0.01,0.01,0.02,0.01,0.17,0.01,0.04,0.07,0.05,0.06,0.08,0.07,0.07,0.05,0.04,0.06,0.06,0.06,0.07,0.04,0.04,0.09
PHILIPPINES,0.11,0.10,0.09,0.10,0.10,0.10,0.11,0.08,0.07,0.07,0.11,0.10,0.07,0.08,0.09,0.09,0.09,0.08,0.12,0.14,0.15,0.11,0.15,0.13,0.14
POLAND,1.17,0.91,0.76,1.37,1.17,1.43,1.57,1.41,1.35,1.76,1.90,2.31,2.24,2.38,2.92,4.55,4.46,3.98,7.05,7.27,9.30,10.12,12.37,13.21,18.52
PORTUGAL,0.15,0.23,0.33,0.34,0.38,0.61,1.25,1.03,0.95,1.53,1.96,2.50,2.17,5.06,4.17,6.00,5.70,5.19,6.81,4.40,4.82,5.10,5.00,6.89,9.85
PUERTO RICO,0.03,0.04,0.04,0.49,0.43,1.48,0.10,0.46,0.04,0.02,1.31,0.92,1.26,1.19,0.66,1.51,1.17,1.31,1.95,2.14,1.79,1.36,1.63,4.73,5.71
QATAR,0.01,0.01,0.22,0.36,0.33,0.16,0.21,0.26,0.12,0.17,0.17,0.18,0.17,0.11,0.18,0.25,1.32,0.21,0.23,0.35,0.51,0.45,0.79,1.68,1.80
REUNION,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.01,0.01,0.01,0.07,0.06,0.12,0.08,0.28,0.22,0.16,0.30,0.28,0.32,24.41,32.88,18.25,
ROMANIA,4.25,4.75,2.38,2.55,7.07,8.15,12.07,12.72,13.10,22.14,14.28,18.49,18.53,18.15,14.47,13.16,12.74,12.63,13.19,12.80,11.40,15.85,18.90,16.61,19.89
RUSSIA,0.49,0.42,0.36,0.65,1.54,1.08,1.49,1.56,1.00,1.17,1.13,1.55,1.31,2.07,2.27,4.68,6.21,3.82,6.47,6.81,7.71,7.15,12.23,18.58,23.70
SAUDI ARABIA,0.00,0.00,0.00,0.00,0.32,0.55,0.26,0.24,0.38,0.48,0.33,0.06,0.11,0.38,0.07,0.08,0.11,0.04,0.07,0.07,0.04,0.03,0.06,0.09,0.11
SERBIA,0.40,0.42,0.19,0.23,0.26,0.27,0.36,0.31,0.26,0.25,0.19,0.15,0.16,0.26,0.25,0.34,0.41,0.32,0.47,0.56,0.83,0.90,1.47,1.72,2.37
SINGAPORE,1.79,3.29,3.41,4.38,2.76,1.19,3.69,3.43,1.88,2.39,1.31,2.12,2.17,2.46,3.22,4.66,5.42,5.01,7.91,7.14,6.91,8.15,13.52,13.38,20.06
SLOVAKIA,4.20,7.07,5.25,5.05,4.60,6.04,5.95,5.15,5.48,5.28,4.39,3.61,3.94,4.56,5.71,7.33,7.62,7.66,8.91,7.13,7.59,7.96,9.22,10.14,12.10
