COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
ALGERIA,16.17,47.07,45.70,40.59,29.76,44.63,32.02,58.16,49.84,56.52,47.17,36.69,22.14,42.74,14.08,4.38,5.47,6.91,2.90,2.04,1.61,1.84,0.59,1.82,0.54
ARGENTINA,9.75,7.39,7.25,5.94,5.39,4.43,3.97,6.14,4.93,3.70,3.55,3.39,3.02,2.73,2.30,2.38,2.82,2.61,2.67,2.37,2.21,1.93,2.39,1.71,1.53
ARMENIA,63.88,59.33,58.32,52.21,48.14,34.86,36.81,51.27,47.32,36.24,23.69,7.90,3.53,3.96,2.75,2.60,1.94,2.50,2.93,1.98,1.46,1.61,0.30,0.51,0.35
AUSTRALIA,10.52,8.83,7.90,7.15,6.50,5.76,5.13,7.44,6.71,6.30,5.40,4.87,3.96,4.03,2.23,2.19,1.77,1.58,1.28,1.75,1.35,1.32,1.07,0.80,0.67
AUSTRIA,3.26,2.29,1.96,1.32,1.23,1.11,1.12,1.22,1.05,0.70,1.34,0.97,0.86,0.43,0.31,0.26,0.25,0.22,0.26,0.19,0.17,0.14,0.10,0.10,0.14
AZERBAIJAN,72.89,70.57,67.28,59.50,60.07,52.64,37.65,45.39,41.04,31.68,29.04,24.96,22.70,17.78,13.73,11.69,7.91,5.19,3.85,2.28,1.73,1.64,0.88,0.58,0.36
BAHRAIN,6.60,5.10,10.84,4.30,9.88,7.43,0.84,21.78,12.41,8.67,9.59,5.94,3.54,1.59,0.64,0.44,0.16,0.06,0.10,0.19,0.06,0.06,0.16,0.08,0.09
BELARUS,49.06,41.96,39.88,35.74,34.58,30.25,23.26,24.75,26.39,17.15,15.79,15.53,10.22,4.54,3.71,4.74,3.37,2.30,1.45,1.38,1.10,0.93,0.73,0.58,0.95
BELGIUM,1.89,1.68,1.51,1.14,0.76,0.46,0.36,0.37,0.33,0.25,0.34,0.66,0.47,0.30,0.36,0.25,0.22,0.24,0.28,0.21,0.14,0.15,0.07,0.04,0.12
BOLIVIA,45.46,51.03,59.05,47.79,46.74,44.44,39.00,69.90,68.06,62.48,67.98,64.96,62.62,59.26,50.84,45.66,32.17,17.67,19.06,14.91,7.44,6.01,7.47,5.45,5.06
BOSNIA AND HERZEGOVINA,23.05,21.71,20.61,13.96,12.27,9.79,6.98,7.46,6.29,5.01,3.76,3.61,2.65,2.24,1.34,1.09,0.95,0.90,0.72,0.60,0.46,0.37,0.16,0.13,0.09
BRAZIL,22.75,22.74,22.51,19.83,18.64,18.99,16.80,20.72,17.87,16.16,16.86,15.50,12.72,11.76,9.30,7.93,7.39,6.07,5.56,3.93,2.02,1.70,1.76,1.26,1.40
BULGARIA,4.07,3.07,2.63,1.56,1.01,0.79,0.81,0.74,0.54,0.37,0.31,0.25,0.22,0.14,0.09,0.07,0.07,0.06,0.06,0.07,0.05,0.04,0.03,0.03,0.03
CANADA,4.26,3.66,3.39,3.07,2.81,2.62,2.07,2.93,2.69,2.17,2.04,1.93,1.80,1.57,1.30,1.18,1.08,0.95,0.83,0.77,0.68,0.65,0.61,0.58,0.51
CHILE,10.18,3.08,2.94,1.81,1.60,1.18,1.11,1.86,1.44,1.23,1.19,1.42,1.14,0.45,0.32,0.26,0.23,0.17,0.21,0.12,0.40,0.38,0.22,0.26,0.19
CHINA,30.89,26.33,23.77,20.19,6.68,9.36,11.17,11.86,9.24,11.00,17.41,13.05,7.64,9.57,7.86,5.91,3.30,4.52,3.37,3.24,2.50,2.83,2.22,1.42,1.25
COLOMBIA,24.66,16.78,13.81,10.86,7.80,5.27,4.11,4.85,5.23,3.33,6.04,2.51,1.66,1.54,1.27,0.76,0.61,0.49,0.43,0.43,0.30,0.37,0.16,0.11,0.09
COSTA RICA,13.29,18.10,17.55,20.45,24.83,23.28,11.68,11.14,12.02,11.60,11.78,8.87,5.36,4.03,2.23,1.76,1.84,1.32,1.47,1.26,0.91,0.80,0.91,0.57,0.61
CROATIA,9.20,6.83,5.35,4.54,3.63,2.61,2.27,2.35,2.21,1.76,1.75,1.59,1.41,1.19,0.98,0.79,0.68,0.60,0.54,0.90,0.51,0.45,0.31,0.36,0.19
CYPRUS,8.30,7.19,6.78,3.94,3.04,3.37,2.01,2.49,2.68,2.03,1.51,1.35,1.15,0.94,0.62,0.59,0.64,0.52,0.45,0.42,0.36,0.36,0.18,0.30,0.13
CZECH REPUBLIC,2.59,2.02,1.62,1.21,1.01,0.75,0.54,0.71,0.63,0.45,0.42,0.31,0.27,0.17,0.10,0.08,0.09,0.37,0.16,0.11,0.07,0.11,0.08,0.06,0.06
DENMARK,2.24,1.87,1.75,1.30,1.52,0.99,0.80,1.12,0.79,0.72,0.79,0.73,0.98,0.56,0.23,0.22,0.22,0.25,1.20,0.22,0.15,0.13,0.11,0.22,0.24
DOMINICAN REPUBLIC,18.26,17.19,17.39,17.93,16.51,15.39,14.43,32.22,33.12,32.11,29.68,19.33,7.57,5.56,3.62,1.86,1.24,0.99,0.49,0.36,0.43,0.44,0.39,0.77,0.52
ECUADOR,40.17,34.90,28.63,29.89,32.69,27.46,21.77,44.86,43.43,32.84,35.65,16.73,6.33,4.66,3.13,3.00,1.89,1.30,1.18,0.87,0.50,0.43,0.32,0.21,0.16
EGYPT,23.23,24.91,33.10,19.24,16.11,15.00,15.00,19.13,12.35,10.34,10.66,9.01,7.65,9.68,9.42,4.19,4.01,3.62,2.69,1.60,1.57,1.24,2.52,1.40,0.75
EL SALVADOR,20.35,17.85,22.23,19.27,20.04,16.68,16.50,43.02,39.14,28.70,29.38,18.45,17.72,9.76,6.05,5.80,4.44,3.18,7.12,1.66,1.43,1.64,1.77,1.18,0.10
ESTONIA,2.97,2.21,2.06,1.55,1.46,1.13,1.00,1.12,0.75,0.72,0.66,0.75,0.59,0.63,0.34,0.38,0.38,0.35,0.28,0.25,0.21,0.18,0.13,0.08,0.13
