COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
ALGERIA,2876,1922,2199,2581,2859,2860,6973,4848,2305,1966,2330,2994,3867,3503,4551,5488,5569,6214,6663,7863,7889,7300,9290,9278,8618
ARGENTINA,3656,3817,3927,4025,4029,4600,7251,15303,5443,5311,6198,6760,7654,10496,10741,11584,12290,12801,14365,13154,14487,14944,14804,14460,15906
ARMENIA,1238,1277,1127,1334,1479,1891,3383,2624,2370,2353,2257,3423,4089,4497,6041,7404,6905,8171,10419,10910,11876,12265,15981,17587,15645
AUSTRALIA,5609,6363,6706,7124,7308,7610,11359,16394,9182,8214,9730,11035,12069,12573,14661,15183,16157,32447,16629,21684,22831,23430,26393,29096,30134
AUSTRIA,6644,7391,7130,7707,7887,9045,11132,12070,10686,11142,11117,11414,12831,14130,15615,18527,18306,18567,20172,22397,24672,25934,29544,31635,30367
AZERBAIJAN,1163,1375,1425,1646,1687,2101,4839,3760,2514,3550,3507,4856,5320,5511,6235,7370,8092,8763,9515,10538,13564,13523,18270,19404,12914
BAHRAIN,2490,2551,2344,3020,2496,3018,8329,6337,4607,4631,4670,5018,6248,6363,6434,7048,9520,10389,9779,10492,11564,11162,60541,40302,15058
BELARUS,1761,2307,2432,2339,2515,2810,4104,5140,3085,3511,3401,4059,4532,5394,6891,7046,8852,8016,9420,8987,9712,10276,12158,13032,10225
BELGIUM,9024,9330,9466,9891,10883,11239,15107,15866,13902,15044,16260,18216,20261,22856,24672,26779,26849,27613,29195,29507,32706,33378,36927,39917,38496
BOLIVIA,2030,1977,2131,2564,2518,2494,5636,17060,1989,1702,1669,1891,2595,2557,3111,3770,4262,6917,6074,6996,9465,9052,9011,8789,8271
BOSNIA AND HERZEGOVINA,3377,3452,3708,4131,4500,4413,6207,8037,4760,4550,5998,6334,6902,7212,8780,9352,9119,9639,11573,12241,13639,13263,16647,17875,15680
BRAZIL,2674,3127,3316,3522,3626,3700,5615,8242,4796,4997,5043,5646,6855,7924,8881,10559,12062,13025,15051,14907,16430,17143,18312,18701,16738
BULGARIA,4256,4881,5030,6319,6853,7617,9705,11369,10733,11864,15490,15927,18436,18924,22372,23907,23690,23901,27474,27947,32106,33597,38018,37147,36981
CANADA,8018,8269,8435,8696,8994,9260,13447,16014,12824,13779,14579,15060,17141,19540,20106,21012,21709,22067,25365,25233,27176,28653,33503,34441,34834
CHILE,4652,4603,5018,7113,6538,7507,11188,11548,9288,8869,8887,10155,11361,12538,15121,16627,18129,17882,19659,19500,20594,20112,19827,19342,17189
CHINA,2057,2437,2540,2552,3305,3421,4305,4301,2734,2520,2743,3410,3713,3717,4080,4603,5535,5462,5941,5914,7140,8118,9471,11385,11264
COLOMBIA,2146,2847,3218,3927,4195,4805,7671,17036,6037,6473,6231,7258,8217,9128,9598,11026,12531,12833,14365,13303,14314,14709,15778,16819,15402
COSTA RICA,2587,2608,2959,2909,2953,3027,5996,28803,3327,5085,3563,4508,5646,6120,7697,7631,7817,9201,9774,10468,11740,11737,12781,12397,10015
CROATIA,4708,6165,6227,6411,5857,6096,7920,11650,9240,9342,9653,10191,11370,10933,11705,12647,12755,13104,13459,13357,15905,15968,18458,19194,16069
CYPRUS,2260,2447,2521,3844,3085,3208,5556,4435,3407,3710,4204,4930,6620,7662,9098,9719,9882,9827,11395,11304,13413,14410,19811,21618,19280
CZECH REPUBLIC,7709,9858,8253,8436,8293,10060,13406,15715,12226,13429,14039,14433,16411,17879,20563,22624,22246,22582,24466,25825,27252,30436,34619,35382,34787
DENMARK,6634,7395,8053,8493,9162,9666,13398,14476,12543,13055,13907,13546,14782,15634,16696,19482,19479,19135,21535,22804,26451,26107,28586,29873,29888
DOMINICAN REPUBLIC,2909,2887,3323,3604,3589,3751,7705,26663,2604,2752,3584,4043,5413,5806,6339,7291,7697,8979,10348,11223,11641,11508,14415,13285,11500
