COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,
ALGERIA,641,334,311,356,469,382,452,313,331,342,325,409,516,433,578,751,741,739,760,953,894,880,844,968,1083,
ARGENTINA,1228,1268,1160,1110,1182,1330,1408,1140,1137,1293,1425,1548,1618,2107,1840,2025,2149,1924,2245,2002,2119,2110,1914,2013,2808,
ARMENIA,441,365,296,393,483,464,482,381,373,464,484,702,870,923,1195,1433,1463,1606,1689,1778,1773,1803,1998,2374,2869,
AUSTRALIA,1924,2119,2040,2190,2515,2520,2878,2680,2361,2191,2617,2864,2908,2956,3382,3538,3594,5414,3546,4406,4294,4195,4297,4839,5490,
AUSTRIA,3399,3525,3358,3557,3709,3865,3841,3784,3853,4094,3819,3758,3632,4041,4396,5278,5401,5327,5701,6324,6550,6580,7389,8111,9314,
AZERBAIJAN,320,317,288,367,399,504,635,605,547,737,828,1097,1011,1067,1086,1305,1481,1587,1473,1699,1991,1986,2280,2556,2845,
BAHRAIN,700,692,552,727,667,909,1669,1249,1129,1409,1308,1354,1366,1742,1533,1795,2167,2290,1986,2189,2016,1987,2233,2258,2249,
BELARUS,593,788,818,848,991,964,972,1038,788,1166,952,1188,1334,1622,1950,2121,2268,1771,2069,2016,2072,2210,2366,2752,2554,
BELGIUM,4191,4105,4307,4453,4798,4635,5015,4690,4554,4872,4699,5054,4857,5533,6140,6432,6206,6302,7104,6528,6655,6679,7578,8389,9707,
BOLIVIA,364,304,264,335,354,436,456,350,281,334,279,292,322,378,382,420,433,508,573,669,881,916,791,911,1073,
BOSNIA AND HERZEGOVINA,1130,1090,1068,1341,1497,1390,1263,1219,1161,1201,1425,1431,1437,1528,1736,2048,1962,1979,2466,2502,2610,2455,3008,3412,3556,
BRAZIL,703,863,867,927,1040,1025,1179,1125,1154,1388,1271,1359,1473,1704,1705,1863,1938,1803,2168,2125,2269,2331,2192,2434,2689,
BULGARIA,2020,2212,2196,2904,3354,3422,3676,3864,3783,4083,4590,4270,3969,4003,4745,5099,5205,4766,5276,5080,5901,6005,6723,6731,7721,
CANADA,3558,3440,3298,3606,3867,3775,3984,4308,4243,4759,4795,4730,5011,5453,5588,6033,5948,5623,6466,6521,6710,6808,7559,8219,8819,
CHILE,1287,1227,1123,1560,1359,1845,2561,2078,2385,2475,2201,2189,2520,2595,2726,3165,3312,2990,3406,2978,3029,2930,2839,2935,3304,
CHINA,670,712,696,634,936,841,831,800,824,878,703,873,974,963,1016,1150,1392,1362,1484,1477,1647,1770,2191,2834,2912,
COLOMBIA,573,686,665,765,976,1186,1477,1408,1444,1672,1530,1657,1752,1927,1907,2190,2567,2406,2654,2503,2715,2706,2701,2887,3038,
COSTA RICA,786,781,780,696,744,712,794,960,730,800,726,814,921,1037,1228,1419,1450,1559,1805,1871,2076,2103,1994,2108,2143,
CROATIA,1894,2638,2276,2321,2442,2497,2426,2936,2951,3101,3024,2887,3044,3028,3075,3370,3303,3204,3297,3171,3496,3280,3702,3984,3931,
CYPRUS,827,842,759,913,1038,1064,1118,1162,1080,1267,1346,1461,1778,2030,2439,2743,2721,2486,2854,2692,2739,2684,3743,4247,4378,
CZECH REPUBLIC,4262,5119,4003,4239,4159,4743,5450,5364,5195,5860,5450,5306,5457,5691,6511,7376,7251,6723,7140,7190,7592,8126,9012,9794,11313,
DENMARK,3196,3407,3619,3930,4383,4403,5018,4668,4775,5364,5273,5018,4883,5143,5418,6118,6072,5606,6712,6677,7249,7018,7668,8105,9165,
DOMINICAN REPUBLIC,572,501,448,428,474,517,591,483,366,423,389,501,797,851,823,1225,1353,1382,1567,1564,1615,1666,1772,1837,1785,
ECUADOR,533,662,678,602,610,687,648,551,516,653,577,785,919,988,1144,1236,1336,1381,1740,1985,2348,2467,2241,2928,3596,
EGYPT,627,507,429,492,559,534,563,546,601,770,750,830,808,728,770,938,959,1078,1337,1343,1193,1261,1051,1090,1195,
EL SALVADOR,590,654,594,586,636,933,682,630,563,735,708,1060,1057,1414,1321,1624,1714,1620,1847,2028,2115,2189,2170,2414,1946,
ESTONIA,3070,3176,3020,3379,3601,3768,4034,3961,4015,4014,3895,3950,3900,3999,3958,4464,4682,4540,5156,4825,5028,5198,5643,6156,5771,
FINLAND,2733,2781,2780,2907,3148,3201,3429,3296,3429,3629,3937,4078,4380,4834,4913,5685,5652,5907,6852,6574,6821,7118,7845,8120,8493,
FRANCE,3201,3123,3078,3140,3162,3251,3488,3225,3314,3475,3229,3382,3337,3521,3610,3926,3843,4067,4889,4635,4796,4804,5000,5683,6528,
GEORGIA,913,577,535,693,815,1820,1738,1670,1571,1651,1594,1623,1698,1663,1768,1931,1953,1994,2101,2305,2565,2611,2874,3351,3859,
GERMANY,3208,3247,3285,3331,3669,3814,4212,3679,3728,3984,3874,4139,4240,4376,4748,5293,5263,5102,5782,5775,5909,6035,6869,7314,7617,
GREECE,1558,1645,1872,2512,2597,2697,2879,3012,2931,3293,3072,3034,3171,3444,3504,3828,3741,3808,4026,3943,3977,3979,4626,4766,4585,
GUATEMALA,886,781,767,919,1197,1375,1386,1182,1087,1320,1222,935,934,1065,1035,2184,2143,1926,2647,2830,3135,1904,1914,1960,1737,
HONG KONG,7268,6739,6092,6868,6979,7120,7562,6994,7797,9048,9026,8596,9314,9377,9208,10347,10541,8848,9324,8938,9018,9322,10726,10816,12539,
HUNGARY,3425,3493,2947,3136,3312,3241,3565,3415,3850,4354,4274,4439,4330,4668,5146,5814,5945,5601,5933,5641,5796,5861,6384,6475,6693,
ICELAND,4407,3448,3625,3578,3379,4091,4411,3839,4129,4588,4406,4305,4282,5123,5070,6339,5820,4642,5365,5496,5262,5408,6966,7172,7478,
INDIA,942,919,859,848,863,788,909,903,879,864,800,820,843,784,788,841,941,839,974,1019,1045,1239,1176,1256,1396,
INDONESIA,690,817,905,1070,976,865,1106,1012,714,713,886,843,745,602,620,643,752,772,718,770,1185,1437,1530,1733,1496,
IRAN,682,694,689,785,738,708,845,650,491,501,462,472,466,543,504,611,564,562,658,755,657,722,629,1082,1225,
IRELAND,2684,3216,2763,2357,3192,4030,4399,4341,5576,4600,4952,5120,4463,4853,5639,6123,7031,7095,7339,6221,6695,6614,7241,8003,9558,
ISRAEL,2917,2765,2458,2527,2886,2870,2759,2735,2607,2718,2982,3282,3513,3577,3629,4456,4785,4052,4607,4982,5641,5792,6930,7354,8253,
ITALY,2356,2365,2379,2588,2979,2948,2887,2936,2731,3031,2934,3004,3289,3441,3662,4203,4011,3963,4148,4028,3925,3995,4434,4941,4870,
JAPAN,6542,6672,7274,7443,7141,7099,7988,7302,7921,7674,7860,8026,8451,8293,8072,8910,8943,9049,10919,10739,10513,10795,11226,11960,13349,
JORDAN,1280,968,1063,1116,1559,1024,1373,970,913,1026,1215,1110,1138,1027,1037,1273,1358,1413,1665,1705,1734,1708,1676,1986,2195,
KAZAKHSTAN,521,501,417,568,466,426,470,433,398,441,693,850,689,741,856,991,1595,1346,1598,1654,1828,1834,2184,2867,3543,
