AD,18.8
AE,5.4
AF,0.19
AG,0.34
AI,0.18
AL,0.65
AM,1.12
AO,0.2
AR,0.85
AS,3.83
AT,23.06
AU,8.1
AW,0.83
AZ,0.19
BA,1.01
BB,0.61
BD,0.12
BE,34.1
BF,0.09
BG,18.25
BH,0.12
BI,2.19
BJ,0.7
BL,0
BM,1.23
BN,0.77
BO,0.07
BQ,0.51
BR,0.85
BS,9.15
BT,0.15
BW,0.17
BY,1.2
BZ,0.42
CA,24.26
CD,0
CF,0.23
CG,0.08
CH,39.2
CI,0.03
CK,1.03
CL,1.06
CM,0.13
CN,1.08
CO,0.5
CR,0.45
CU,0
CV,0.3
CW,6.05
CY,2.34
CZ,35.46
DE,17.11
DJ,0.16
DK,28.46
DM,0.23
DO,0.09
DZ,0.02
EC,1.59
EE,10.43
EG,0.06
EH,0
ER,0
ES,13.79
ET,0.29
EU,20.71
FI,24.75
FJ,0.1
FK,0
FM,0
FO,4.86
FR,11.93
GA,0.04
GB,27.18
GD,0.57
GE,3.14
GF,0.05
GG,6.51
GH,0.7
GI,2.33
GL,0.28
GM,0.56
GN,0.16
GP,0.24
GQ,0.3
GR,2.93
GT,0.19
GU,1.59
GW,0
GY,0.08
HK,38.43
HN,0.87
HR,1.54
HT,0.84
HU,15.44
ID,0.14
IE,24.64
IL,20.36
IM,7.25
IN,0.3
IO,0
IQ,0.09
IR,0.03
IS,14.16
IT,3.73
JE,3.49
JM,9.67
JO,0.13
JP,49.24
KE,0.17
KG,0.41
KH,0.35
KI,0
KM,0.24
KN,0.73
KP,9.38
KR,69.61
KW,0.85
KY,0.88
KZ,2.32
LA,0.1
LB,0.08
LC,0.35
LI,28.94
LK,0.3
LR,3.37
LS,0.41
LT,22.01
LU,8.27
LV,34.41
LY,0.11
MA,0.08
MC,12.13
MD,20.47
ME,0.51
MF,0.35
MG,0.1
MH,0.47
MK,1.31
ML,0.19
MM,1
MN,0.92
MO,9.23
MP,0.01
MQ,0.75
MR,0.05
MS,18.69
MT,7.5
MU,0.1
MV,0.02
MW,0.05
MX,1.7
MY,2.13
MZ,0.25
NA,0.04
NC,1.76
NE,0.19
NF,3.29
NG,0.31
NI,0.12
NL,44.5
NO,22.95
NP,0.41
NR,0
NU,0
NZ,6.23
OM,0.21
PA,0.49
PE,0.09
PF,0.02
PG,0.27
PH,0.14
PK,0.04
PL,18.52
PM,2.5
PR,5.71
PS,0.19
PT,9.85
PW,1.15
PY,0.03
QA,1.8
RE,18.25
RO,19.89
RS,2.37
RU,23.7
RW,0.33
SA,0.11
SB,0
SC,0.16
SD,0.01
SE,25.42
SG,20.06
SI,10.53
SK,12.1
SL,0.19
SM,2.33
SN,0.01
SO,1.55
SR,0.06
SS,0.45
ST,0.33
SV,0.06
SX,1.57
SY,0.05
SZ,0.05
TC,0.27
TD,0
TF,0
TG,0
TH,2.39
TJ,0.06
TK,9.38
TL,0.13
TM,1.35
TN,0.1
TO,0.44
TR,1.73
TT,1.01
TV,0
TW,20.62
TZ,0.21
UA,24.38
UG,0.15
UM,0
US,33.69
UY,0.23
UZ,0.05
VA,51.43
VC,0.83
VE,0.1
VG,0.34
VI,3.61
VN,0.11
VU,1.43
WF,1.43
WS,0.22
YE,0.01
YT,0
ZA,1.11
ZM,0.16
ZW,0.37
