AD,0.09
AE,0.28
AF,7.15
AG,0.49
AI,0.51
AL,0.11
AM,0.35
AO,1.1
AR,1.53
AS,5.72
AT,0.14
AU,0.67
AW,0.05
AZ,0.36
BA,0.09
BB,0.1
BD,3.65
BE,0.12
BF,16.43
BG,0.03
BH,0.09
BI,11.84
BJ,22.86
BL,1.64
BM,0.66
BN,0.72
BO,5.06
BQ,0.11
BR,1.4
BS,0.13
BT,2.02
BW,16.43
BY,0.95
BZ,7.86
CA,0.51
CD,28.08
CF,9.45
CG,30.13
CH,0.11
CI,0.31
CK,0.31
CL,0.19
CM,26.8
CN,1.25
CO,0.09
CR,0.61
CU,77.99
CV,0.12
CW,0.02
CY,0.13
CZ,0.06
DE,0.15
DJ,0.78
DK,0.24
DM,0.38
DO,0.52
DZ,0.54
EC,0.16
EE,0.13
EG,0.75
EH,0
ER,81.61
ES,0.21
ET,45.06
EU,0.82
FI,0.15
FJ,1.29
FK,0.07
FM,61.55
FO,0.1
FR,0.09
GA,12.31
GB,0.87
GD,0.02
GE,0.13
GF,0.61
GG,0.03
GH,1.09
GI,0.03
GL,0.12
GM,15
GN,4.82
GP,0.53
GQ,8.88
GR,0.05
GT,0.3
GU,1.6
GW,33.33
GY,6.42
HK,0.17
HN,0.77
HR,0.19
HT,2.87
HU,0.3
ID,1.65
IE,0.33
IL,0.17
IM,0.66
IN,6.8
IO,13.09
IQ,0.49
IR,9.86
IS,0.11
IT,0.23
JE,0.03
JM,0.05
JO,0.08
JP,0.58
KE,3
KG,1.45
KH,0.55
KI,0
KM,2.26
KN,0.02
KP,0
KR,0.1
KW,0.32
KY,0.4
KZ,3.22
LA,0.87
LB,0.37
LC,0.01
LI,0.05
LK,1.73
LR,6.42
LS,13.68
LT,0.32
LU,0.15
LV,0.08
LY,0.66
MA,0.27
MC,0.04
MD,0.14
ME,0.09
MF,0.03
MG,2.45
MH,3.77
MK,0.05
ML,10.02
MM,7.2
MN,0.15
MO,0.03
MP,0.66
MQ,0.31
MR,5.16
MS,0.24
MT,0.04
MU,3.49
MV,1.89
MW,5.25
MX,0.42
MY,0.19
MZ,1.79
NA,2.42
NC,0.93
NE,19.87
NF,0.47
NG,5.12
NI,0.18
NL,0.24
NO,0.15
NP,0.56
NR,8.51
NU,14.71
NZ,1.33
OM,0.62
PA,0.27
PE,0.25
PF,0.03
PG,11.77
PH,0.42
PK,0.38
PL,0.08
PM,0
PR,0.33
PS,0.24
PT,0.07
PW,58.21
PY,0.21
QA,0.14
RE,5.58
RO,0.07
RS,0.53
RU,0.33
RW,9.73
SA,0.13
SB,17.69
SC,6.41
SD,1.73
SE,0.24
SG,0.14
SI,0.16
SK,0.08
SL,7.72
SM,0.38
SN,0.54
SO,30.31
SR,0.13
SS,1.35
ST,1.41
SV,0.1
SX,0.05
SY,2.31
SZ,10.12
TC,0.28
TD,29
TF,0
TG,8.12
TH,0.17
TJ,9.19
TK,0
TL,7.01
TM,23.31
TN,0.3
TO,4.38
TR,0.07
TT,0.85
TV,13.64
TW,0.08
TZ,2.22
UA,9.63
UG,17.18
UM,0
US,1.4
UY,0.29
UZ,4.37
VA,0
VC,0.02
VE,1.46
VG,0.02
VI,0.25
VN,2.08
VU,0.07
WF,0.2
WS,7.1
YE,2.24
YT,1.94
ZA,2.8
ZM,10.07
ZW,10.09
